query_id,best_hit
tr|A0A8I5KSE2|A0A8I5KSE2_HUMAN,7KZN_A
tr|A0A8Q3SIY4|A0A8Q3SIY4_HUMAN,3TJE_F
tr|A0A8V8TN42|A0A8V8TN42_HUMAN,6W6W_C
tr|A0A8V8TNW2|A0A8V8TNW2_HUMAN,5X55_B
tr|A0A8V8TPP7|A0A8V8TPP7_HUMAN,1GXZ_A
tr|A0A8V8TQ76|A0A8V8TQ76_HUMAN,6QX9_5X
tr|A0A994J428|A0A994J428_HUMAN,1QHA_A
sp|A2RUT3|TMM89_HUMAN,4OJD_H
tr|A6NNM2|A6NNM2_HUMAN,1Y0K_A
tr|B0YIW6|B0YIW6_HUMAN,5NZV_D
tr|B4DR12|B4DR12_HUMAN,7VGQ_B
tr|B4DTF9|B4DTF9_HUMAN,6WCJ_B
tr|B4DXW7|B4DXW7_HUMAN,6LTJ_Q
tr|C9J296|C9J296_HUMAN,4AQS_A
tr|C9JE82|C9JE82_HUMAN,6JPA_F
tr|C9JMN9|C9JMN9_HUMAN,5XF7_A
tr|C9JUE0|C9JUE0_HUMAN,1OEY_K
tr|D6RBR5|D6RBR5_HUMAN,6Y7F_B
tr|D6RFE8|D6RFE8_HUMAN,5TJ3_A
tr|E5RGZ1|E5RGZ1_HUMAN,4K25_A
tr|E5RHM4|E5RHM4_HUMAN,7MQA_LU
tr|E5RJ86|E5RJ86_HUMAN,4GMO_A
tr|E7ES21|E7ES21_HUMAN,5N0K_A
tr|E7EVD6|E7EVD6_HUMAN,6VHH_B
tr|E7EVE9|E7EVE9_HUMAN,7O4J_0
sp|E9PJI5|NPIA7_HUMAN,6TF9_SP1
tr|E9PJX4|E9PJX4_HUMAN,6NFA_A
tr|E9PQC4|E9PQC4_HUMAN,2VE7_D
tr|F5H248|F5H248_HUMAN,4D18_G
tr|F6S4E6|F6S4E6_HUMAN,7APK_h
tr|F6TRA5|F6TRA5_HUMAN,7APK_h
tr|F8WB72|F8WB72_HUMAN,6XU8_Cf
tr|G3V1X7|G3V1X7_HUMAN,6WWA_Y
tr|G3V3E8|G3V3E8_HUMAN,6W5V_D
tr|G3V5Z7|G3V5Z7_HUMAN,6TCZ_e
tr|G8JLH2|G8JLH2_HUMAN,1QB0_A
tr|H0Y6Y6|H0Y6Y6_HUMAN,2H26_A
tr|H0Y8T7|H0Y8T7_HUMAN,3P9Y_B
tr|H0Y922|H0Y922_HUMAN,4XZS_A
tr|H0YAC5|H0YAC5_HUMAN,6GYU_A
tr|H0YJL1|H0YJL1_HUMAN,4IRV_F
tr|H0YKC9|H0YKC9_HUMAN,1X2M_A
sp|H0YKK7|GG6LS_HUMAN,6K06_A
tr|H0YKL9|H0YKL9_HUMAN,5LPX_A
sp|H3BPF8|GOG8S_HUMAN,6K06_A
sp|H3BQL2|GOG8T_HUMAN,6K06_A
tr|H3BUD0|H3BUD0_HUMAN,2F42_A
tr|H7BYJ3|H7BYJ3_HUMAN,6SO3_B
tr|H7C433|H7C433_HUMAN,7EGG_D
tr|H7C4D0|H7C4D0_HUMAN,3BJC_A
tr|I3L2R9|I3L2R9_HUMAN,6KZJ_C
sp|I6L899|GOG8R_HUMAN,6K06_A
tr|J3QL89|J3QL89_HUMAN,6JMU_B
tr|J3QRV5|J3QRV5_HUMAN,6N8S_A
tr|K7EIR2|K7EIR2_HUMAN,4Y4Y_W
tr|K7EKH4|K7EKH4_HUMAN,7D3F_D
sp|P0C672|TSN19_HUMAN,6WVG_B
sp|P61583|NP5_HUMAN,2MZ8_A
tr|Q5QPI7|Q5QPI7_HUMAN,4A57_C
sp|Q5T036|F120S_HUMAN,6YXY_EH
tr|Q5T5I6|Q5T5I6_HUMAN,4TU3_A
tr|Q5T6L5|Q5T6L5_HUMAN,6E5Y_A
sp|Q8N6N2|TTC9B_HUMAN,2IF4_A
sp|Q8N7X8|SIGL1_HUMAN,5A2F_A
sp|Q8N9T2|CX042_HUMAN,5INE_A
sp|Q9NVV2|CS073_HUMAN,4HBE_A
sp|Q9NZY2|FA30A_HUMAN,4BUP_B
sp|Q9Y6Z5|AFDDT_HUMAN,1N2L_A
tr|S4R418|S4R418_HUMAN,2FIC_B
tr|S4R471|S4R471_HUMAN,7V1N_K
tr|A0A024R3B8|A0A024R3B8_HUMAN,6X5S_B
tr|A0A075B6W3|A0A075B6W3_HUMAN,5M1H_A
tr|A0A075B735|A0A075B735_HUMAN,3CB2_B
tr|A0A087WV39|A0A087WV39_HUMAN,1Z3I_X
tr|A0A087WW36|A0A087WW36_HUMAN,4JOD_A
tr|A0A087WWH3|A0A087WWH3_HUMAN,6IGM_H
tr|A0A087WZD4|A0A087WZD4_HUMAN,6DLP_A
tr|A0A087WZQ0|A0A087WZQ0_HUMAN,2KG4_A
tr|A0A087X1C0|A0A087X1C0_HUMAN,6ZYW_Y
tr|A0A087X220|A0A087X220_HUMAN,5YRX_A
tr|A0A0A0MQS3|A0A0A0MQS3_HUMAN,3LCC_A
tr|A0A0A0MS16|A0A0A0MS16_HUMAN,2JUL_A
tr|A0A0A0MSV9|A0A0A0MSV9_HUMAN,3F8U_B
tr|A0A0A0MT79|A0A0A0MT79_HUMAN,4OM3_D
tr|A0A0A6YYN8|A0A0A6YYN8_HUMAN,6GCI_A
tr|A0A0C4DFN6|A0A0C4DFN6_HUMAN,5NZV_H
tr|A0A0C4DG55|A0A0C4DG55_HUMAN,5FR1_B
tr|A0A0C4DG59|A0A0C4DG59_HUMAN,1H8B_B
tr|A0A0C4DGR6|A0A0C4DGR6_HUMAN,5XMG_A
tr|A0A0D9SEM4|A0A0D9SEM4_HUMAN,6X89_S5
tr|A0A0D9SF26|A0A0D9SF26_HUMAN,7NVU_X
tr|A0A0G2JIT5|A0A0G2JIT5_HUMAN,6AHU_K
tr|A0A0G2JK88|A0A0G2JK88_HUMAN,1WB9_B
tr|A0A0G2JLL1|A0A0G2JLL1_HUMAN,6HGO_C
tr|A0A0G2JM13|A0A0G2JM13_HUMAN,6ULC_L
tr|A0A0G2JMF9|A0A0G2JMF9_HUMAN,6QNX_C
tr|A0A0G2JPD1|A0A0G2JPD1_HUMAN,7AOH_C
tr|A0A0G2JQB7|A0A0G2JQB7_HUMAN,6PW5_D
tr|A0A0G2JQJ2|A0A0G2JQJ2_HUMAN,7KWO_V
tr|A0A0J9YWV2|A0A0J9YWV2_HUMAN,3N44_F
tr|A0A0J9YX61|A0A0J9YX61_HUMAN,6X48_A
tr|A0A0U1RQQ4|A0A0U1RQQ4_HUMAN,3JTC_B
tr|A0A140T997|A0A140T997_HUMAN,6AT5_A
tr|A0A140T9K9|A0A140T9K9_HUMAN,3S6C_A
tr|A0A140T9V5|A0A140T9V5_HUMAN,5XWE_A
tr|A0A1B0GTH3|A0A1B0GTH3_HUMAN,6J17_A
tr|A0A1B0GTQ7|A0A1B0GTQ7_HUMAN,5U81_A
tr|A0A1B0GW53|A0A1B0GW53_HUMAN,7N9F_z
tr|A0A1D5RMR8|A0A1D5RMR8_HUMAN,4B0T_A
tr|A0A1W2PNX4|A0A1W2PNX4_HUMAN,3VH8_G
tr|A0A1W2PRY4|A0A1W2PRY4_HUMAN,6S48_A
tr|A0A286YFJ5|A0A286YFJ5_HUMAN,6FMR_A
tr|A0A286YFJ7|A0A286YFJ7_HUMAN,6R4P_A
tr|A0A2R8Y211|A0A2R8Y211_HUMAN,6DDU_A
tr|A0A2R8Y2H5|A0A2R8Y2H5_HUMAN,2KXE_A
tr|A0A2R8Y4V9|A0A2R8Y4V9_HUMAN,5OET_B
tr|A0A2R8Y5A1|A0A2R8Y5A1_HUMAN,5KZ5_H
tr|A0A2R8Y6L2|A0A2R8Y6L2_HUMAN,4WWU_H
tr|A0A2R8Y784|A0A2R8Y784_HUMAN,6ZNL_Z
tr|A0A2R8Y885|A0A2R8Y885_HUMAN,6Z47_G
tr|A0A2R8Y8A3|A0A2R8Y8A3_HUMAN,6ZFB_h
tr|A0A2R8Y8C0|A0A2R8Y8C0_HUMAN,7F2O_R
tr|A0A2R8YCV2|A0A2R8YCV2_HUMAN,2ML5_A
tr|A0A2R8YF63|A0A2R8YF63_HUMAN,6Q6H_A
tr|A0A2R8YGH2|A0A2R8YGH2_HUMAN,6R5K_O
tr|A0A2R8YHG0|A0A2R8YHG0_HUMAN,6Z9U_D
tr|A0A3B3IS97|A0A3B3IS97_HUMAN,2MF8_A
tr|A0A3B3ISG3|A0A3B3ISG3_HUMAN,2YAD_C
tr|A0A3B3ISR3|A0A3B3ISR3_HUMAN,6X9O_A
tr|A0A3B3ITE1|A0A3B3ITE1_HUMAN,3SHW_A
tr|A0A3B3ITG2|A0A3B3ITG2_HUMAN,3UF1_D
tr|A0A3B3ITH1|A0A3B3ITH1_HUMAN,7E8T_L
tr|A0A3B3IUB7|A0A3B3IUB7_HUMAN,3UA0_B
tr|A0A494C0R2|A0A494C0R2_HUMAN,5DAG_A
tr|A0A494C199|A0A494C199_HUMAN,6N2P_G
tr|A0A494C1C0|A0A494C1C0_HUMAN,4RXV_A
tr|A0A494C1Q6|A0A494C1Q6_HUMAN,6JPA_C
tr|A0A5F9ZGZ4|A0A5F9ZGZ4_HUMAN,7NH5_A
tr|A0A6I8PLA6|A0A6I8PLA6_HUMAN,6LQO_L
tr|A0A6I8PTV4|A0A6I8PTV4_HUMAN,1R42_A
tr|A0A6Q8PG00|A0A6Q8PG00_HUMAN,1OEY_K
tr|A0A6Q8PG78|A0A6Q8PG78_HUMAN,6ZD9_B
tr|A0A7I2V4M8|A0A7I2V4M8_HUMAN,4IM0_A
tr|A0A7I2V5B8|A0A7I2V5B8_HUMAN,7B5M_T
tr|A0A7I2V5F5|A0A7I2V5F5_HUMAN,6QX9_5X
tr|A0A7I2YQB7|A0A7I2YQB7_HUMAN,7B5M_T
tr|A0A7I2YQB8|A0A7I2YQB8_HUMAN,6Z0U_RA
tr|A0A7I2YQR6|A0A7I2YQR6_HUMAN,6WQK_B
tr|A0A7P0T926|A0A7P0T926_HUMAN,1DEU_A
tr|A0A7P0T971|A0A7P0T971_HUMAN,5FTJ_B
tr|A0A7P0T9C1|A0A7P0T9C1_HUMAN,5DI3_B
tr|A0A7P0T9H5|A0A7P0T9H5_HUMAN,6IAK_F
tr|A0A7P0TAG4|A0A7P0TAG4_HUMAN,6VFK_A
tr|A0A7P0TAY0|A0A7P0TAY0_HUMAN,5FTJ_B
tr|A0A7P0TB88|A0A7P0TB88_HUMAN,4X83_B
tr|A0A7P0TBD0|A0A7P0TBD0_HUMAN,4LS9_B
tr|A0A7P0Z405|A0A7P0Z405_HUMAN,5ULS_A
tr|A0A7P0Z4H0|A0A7P0Z4H0_HUMAN,5X89_A
tr|A0A804HI14|A0A804HI14_HUMAN,6YXY_Ao
tr|A0A804HI81|A0A804HI81_HUMAN,7NJ1_A
tr|A0A804HK73|A0A804HK73_HUMAN,7PY2_C
tr|A0A804HL58|A0A804HL58_HUMAN,7MIT_E
tr|A0A804HLK0|A0A804HLK0_HUMAN,7FH1_B
tr|A0A8I5KPF5|A0A8I5KPF5_HUMAN,6VTK_B
tr|A0A8I5KPW2|A0A8I5KPW2_HUMAN,6GCI_A
tr|A0A8I5KQX3|A0A8I5KQX3_HUMAN,6FX0_A
tr|A0A8I5KSP1|A0A8I5KSP1_HUMAN,5V87_B
tr|A0A8I5KSX7|A0A8I5KSX7_HUMAN,7CEE_A
tr|A0A8I5KWE3|A0A8I5KWE3_HUMAN,7ADO_A
tr|A0A8I5KXL5|A0A8I5KXL5_HUMAN,5YZ0_C
tr|A0A8I5QJH7|A0A8I5QJH7_HUMAN,4NN2_B
tr|A0A8I5QKV6|A0A8I5QKV6_HUMAN,6QK7_A
tr|A0A8Q3SJ74|A0A8Q3SJ74_HUMAN,5OR7_C
tr|A0A8Q3WMD3|A0A8Q3WMD3_HUMAN,7KZT_M
tr|A0A8V8TKM3|A0A8V8TKM3_HUMAN,7SGL_D
tr|A0A8V8TKV2|A0A8V8TKV2_HUMAN,4L8T_A
tr|A0A8V8TKX7|A0A8V8TKX7_HUMAN,6NZ0_Z
tr|A0A8V8TN69|A0A8V8TN69_HUMAN,5NZV_D
tr|A0A8V8TNA6|A0A8V8TNA6_HUMAN,6QNX_C
tr|A0A8V8TNF0|A0A8V8TNF0_HUMAN,6XJL_A
tr|A0A8V8TP26|A0A8V8TP26_HUMAN,6YXX_E3
tr|A0A8V8TQ57|A0A8V8TQ57_HUMAN,1RZH_H
tr|A0A994J561|A0A994J561_HUMAN,5JXT_K
tr|A0A994J5F6|A0A994J5F6_HUMAN,4WPX_F
tr|A0A994J6I1|A0A994J6I1_HUMAN,2ZOP_B
tr|A0A9L9PY19|A0A9L9PY19_HUMAN,6KN7_a
tr|A0A9L9PYG2|A0A9L9PYG2_HUMAN,4DUR_A
tr|A2ABE9|A2ABE9_HUMAN,1EWR_B
sp|A6NFE3|EFC10_HUMAN,5CUY_D
tr|A6NIW2|A6NIW2_HUMAN,6TGB_A
tr|A8MZ84|A8MZ84_HUMAN,5OR7_C
tr|B0QZ55|B0QZ55_HUMAN,6FEC_w
tr|B3KN83|B3KN83_HUMAN,6C48_B
tr|B3KVL5|B3KVL5_HUMAN,6ZYM_9
tr|B5MC53|B5MC53_HUMAN,1I8N_B
tr|B7Z757|B7Z757_HUMAN,4C7N_A
tr|C9J091|C9J091_HUMAN,6ZXG_k
tr|C9J0J5|C9J0J5_HUMAN,5O7H_F
tr|C9J0Z4|C9J0Z4_HUMAN,3VG9_A
tr|C9J2U3|C9J2U3_HUMAN,6F1T_f
tr|C9J2Z5|C9J2Z5_HUMAN,6OCN_A
tr|C9J5D1|C9J5D1_HUMAN,2OB0_C
tr|C9J6M2|C9J6M2_HUMAN,3F5F_A
tr|C9J795|C9J795_HUMAN,4FOM_A
tr|C9J7X6|C9J7X6_HUMAN,5IJN_Y
tr|C9J847|C9J847_HUMAN,4OGR_G
tr|C9J8C2|C9J8C2_HUMAN,1K8Q_A
tr|C9J9H5|C9J9H5_HUMAN,6TDM_A
tr|C9JBF0|C9JBF0_HUMAN,7LHW_A
tr|C9JG98|C9JG98_HUMAN,6GKM_A
tr|C9JGT0|C9JGT0_HUMAN,7SP5_B
tr|C9JI91|C9JI91_HUMAN,6QAJ_B
tr|C9JIY7|C9JIY7_HUMAN,7KNA_C
tr|C9JKG9|C9JKG9_HUMAN,7BMH_A
tr|C9JP59|C9JP59_HUMAN,4OAV_B
tr|C9JQZ3|C9JQZ3_HUMAN,5WHG_A
tr|C9JSA6|C9JSA6_HUMAN,7MQA_SW
tr|C9JUH0|C9JUH0_HUMAN,5ZB9_A
tr|C9JVJ0|C9JVJ0_HUMAN,3ICU_A
tr|C9JW74|C9JW74_HUMAN,4CCY_A
tr|C9JWH0|C9JWH0_HUMAN,4NN2_B
tr|C9JYH9|C9JYH9_HUMAN,6YLG_s
tr|C9JYW3|C9JYW3_HUMAN,4V6W_CU
tr|C9JZA4|C9JZA4_HUMAN,6ZNL_Z
tr|C9K0A9|C9K0A9_HUMAN,2WAD_A
tr|D6R9Z3|D6R9Z3_HUMAN,5D28_A
tr|D6RAD9|D6RAD9_HUMAN,5J34_C
tr|D6RD26|D6RD26_HUMAN,6NFW_A
tr|D6RDB2|D6RDB2_HUMAN,1F6B_A
tr|D6RE08|D6RE08_HUMAN,4I0O_A
tr|D6REW7|D6REW7_HUMAN,7NS4_i
tr|D6RF15|D6RF15_HUMAN,7JZW_J
tr|D6RHY5|D6RHY5_HUMAN,6H0I_A
tr|D6RIW8|D6RIW8_HUMAN,7A5P_p
tr|E5RFX8|E5RFX8_HUMAN,7KPV_B
tr|E5RH53|E5RH53_HUMAN,7CC7_A
tr|E5RHM3|E5RHM3_HUMAN,5ZB2_B
tr|E5RI90|E5RI90_HUMAN,1R9D_B
tr|E5RIP0|E5RIP0_HUMAN,6LO8_B
tr|E5RJN1|E5RJN1_HUMAN,3FAJ_A
tr|E7EP32|E7EP32_HUMAN,7F4F_B
tr|E7ERE6|E7ERE6_HUMAN,6QNX_A
tr|E7EV10|E7EV10_HUMAN,7AOA_A
tr|E7EW89|E7EW89_HUMAN,6ID1_q
tr|E7EWF8|E7EWF8_HUMAN,3OR1_B
tr|E7EX99|E7EX99_HUMAN,6BSD_A
tr|E9PGY2|E9PGY2_HUMAN,7DVQ_1
tr|E9PI79|E9PI79_HUMAN,1M1C_B
tr|E9PJB9|E9PJB9_HUMAN,6OIT_B
tr|E9PJG1|E9PJG1_HUMAN,3DWB_A
tr|E9PK16|E9PK16_HUMAN,7F9O_9
tr|E9PKL5|E9PKL5_HUMAN,7O2W_B
tr|E9PL15|E9PL15_HUMAN,6TNZ_D
tr|E9PMG9|E9PMG9_HUMAN,5OJ2_B
tr|E9PMY4|E9PMY4_HUMAN,6MTC_v
tr|E9PNA0|E9PNA0_HUMAN,4IAO_B
tr|E9PNN5|E9PNN5_HUMAN,6DEE_A
tr|E9PP79|E9PP79_HUMAN,4QUV_B
tr|E9PRX6|E9PRX6_HUMAN,1I8N_B
tr|F2Z3J0|F2Z3J0_HUMAN,5N4A_A
tr|F5GXP0|F5GXP0_HUMAN,7LAF_B
tr|F5GYB3|F5GYB3_HUMAN,6AED_A
tr|F5GYY1|F5GYY1_HUMAN,7O4J_0
tr|F5GZW1|F5GZW1_HUMAN,6QJA_B
tr|F5H024|F5H024_HUMAN,5WJC_A
tr|F5H026|F5H026_HUMAN,7D3F_D
tr|F5H4H1|F5H4H1_HUMAN,3B0U_Y
tr|F5H552|F5H552_HUMAN,2KSN_A
tr|F5H684|F5H684_HUMAN,5ZLG_A
tr|F6UGA0|F6UGA0_HUMAN,1DP7_P
tr|F8VR76|F8VR76_HUMAN,2PSQ_A
tr|F8VS91|F8VS91_HUMAN,7NH5_A
tr|F8VUB9|F8VUB9_HUMAN,1FDV_C
tr|F8VVZ1|F8VVZ1_HUMAN,1D2Z_D
tr|F8VXK7|F8VXK7_HUMAN,6GYB_F
tr|F8VYZ9|F8VYZ9_HUMAN,1M0F_4
